id,name,budget_range,preferred_location,requirements,checkin_time_preference,checkout_time_preference,preferred_facilities,special_requests
8632,Xuân Mai,4.280.000 - 4.400.000 VND,Ninh Bình,"Sân vườn, Hồ bơi ngoài trời, Trung tâm thể dục, Nhà hàng",13:30 - 16:00,11:00 - 12:00,"Hồ bơi ngoài trời, Nôi/cũi theo yêu cầu, WiFi miễn phí",Nôi em bé
8633,Duyên Lê,17.210.000 - 17.260.000 VND,Hải Phòng,"Phòng gia đình, Tiện nghi cho khách khuyết tật",12:00 - 18:00,9:00 - 12:00,Sân thượng / hiên,Nôi em bé
8634,Tùng Dương,16.280.000 - 18.160.000 VND,Hưng Yên,Tiện nghi cho khách khuyết tật,14:30 - 17:00,10:30 - 12:00,"Chỗ đỗ xe, Tiện nghi BBQ",
8635,Hưng Mai Hoàng,17.160.000 - 18.600.000 VND,An Giang,"Phòng không hút thuốc, Nhà hàng, Tiện nghi cho khách khuyết tật",14:00 - 14:00,10:30 - 12:00,Trung tâm Spa & chăm sóc sức khoẻ,
8636,Quang Mai,16.760.000 - 17.140.000 VND,Lâm Đồng,"Trung tâm Spa & chăm sóc sức khoẻ, Tiện nghi BBQ, Dịch vụ phòng",12:30 - 17:00,12:00 - 12:00,"Dọn phòng hàng ngày, Tiện nghi BBQ, Điều hòa nhiệt độ, Giặt ủi",Giáp biển
8637,Yến Hoàng,13.430.000 - 14.710.000 VND,Sóc Trăng,"Hồ bơi ngoài trời, Nhà hàng",12:00 - 13:00,12:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Dọn phòng hàng ngày, Chỗ đỗ xe, Sân thượng / hiên",Phòng yên tĩnh
8638,Trung Đức Hoàng,3.460.000 - 3.630.000 VND,Phú Thọ,Sân vườn,13:30 - 15:00,9:30 - 12:00,"Trung tâm thể dục, Tiện nghi cho khách khuyết tật",Hướng biển
8639,Quang Thế Lê,14.300.000 - 15.440.000 VND,Quảng Bình,"WiFi miễn phí, Hồ bơi ngoài trời, Tiện nghi BBQ",14:00 - 17:00,9:00 - 12:00,Quầy bar,
8640,Nhật Phạm,7.500.000 - 8.800.000 VND,Sóc Trăng,"Chỗ đỗ xe, Phòng gia đình",11:30 - 18:00,12:30 - 12:00,"Máy pha trà/cà phê, Dịch vụ phòng",
8641,Xuân Dương,4.430.000 - 5.020.000 VND,Lai Châu,"Dọn phòng hàng ngày, Khu vực bãi tắm riêng, Tiện nghi cho khách khuyết tật",15:30 - 18:00,9:30 - 12:00,Máy pha trà/cà phê,
8642,Hương Mai,2.900.000 - 4.320.000 VND,Trà Vinh,"Phòng không hút thuốc, Nhà hàng",13:00 - 17:00,10:00 - 12:00,"Điều hòa nhiệt độ, Máy pha trà/cà phê, Hồ bơi ngoài trời",Hướng biển
8643,Thảo Lê,16.110.000 - 16.210.000 VND,Thái Bình,"Hồ bơi trong nhà, Nhà hàng, Dịch vụ phòng",15:30 - 17:00,10:00 - 12:00,"Nôi/cũi theo yêu cầu, Xe đưa đón sân bay, Lễ tân 24 giờ",Phòng không cửa sổ
8644,Khoa Vũ,12.240.000 - 12.330.000 VND,Quảng Trị,"Khu vực bãi tắm riêng, Xe đưa đón sân bay",13:30 - 16:00,10:00 - 12:00,"Hồ bơi trong nhà, Máy pha trà/cà phê",Giường phụ
8645,Bảo Vũ,10.870.000 - 12.060.000 VND,Lào Cai,Điều hòa nhiệt độ,14:00 - 15:00,10:30 - 12:00,"Phòng gia đình, Tiện nghi cho khách khuyết tật, Nôi/cũi theo yêu cầu, Phòng không hút thuốc",Khu vực cho phép hút thuốc
8646,Huy Trí Nguyễn,6.290.000 - 8.200.000 VND,Ninh Bình,"Phòng không hút thuốc, Máy pha trà/cà phê, Điều hòa nhiệt độ",12:00 - 15:00,10:00 - 12:00,Trung tâm thể dục,Giáp biển
8647,Thành Vũ,7.680.000 - 9.380.000 VND,Lâm Đồng,"Tiện nghi cho khách khuyết tật, Nhà hàng, Dịch vụ phòng",14:00 - 16:00,9:00 - 12:00,"Quầy bar, Xe đưa đón sân bay",Chỗ đậu xe riêng
8648,Bảo Vũ,12.220.000 - 13.770.000 VND,Thái Bình,Hồ bơi ngoài trời,14:00 - 14:00,10:00 - 12:00,Hồ bơi ngoài trời,Hướng biển
8649,Yến Nguyễn,15.510.000 - 15.830.000 VND,Quảng Ninh,"Trung tâm thể dục, Tiện nghi cho khách khuyết tật",13:00 - 18:00,12:30 - 12:00,"Tiện nghi cho khách khuyết tật, Thang máy",
8650,Khoa Bảo Vũ,9.140.000 - 10.880.000 VND,Bình Phước,"Dịch vụ phòng, Sân thượng / hiên, Khu vực bãi tắm riêng, Hồ bơi trong nhà",11:30 - 17:00,12:00 - 12:00,Nhà hàng,
8651,Mai Đặng,15.590.000 - 15.940.000 VND,Long An,"Giặt ủi, Tiện nghi BBQ",13:30 - 15:00,11:30 - 12:00,"Điều hòa nhiệt độ, Trung tâm Spa & chăm sóc sức khoẻ",Giường phụ
8652,Bảo Trần,9.320.000 - 10.650.000 VND,Thái Nguyên,"Máy pha trà/cà phê, Tiện nghi cho khách khuyết tật",13:30 - 13:00,12:00 - 12:00,"Chỗ đỗ xe, Dọn phòng hàng ngày, Sân thượng / hiên, Khu vực bãi tắm riêng",Hướng biển
8653,Tú Nguyễn,1.710.000 - 2.240.000 VND,Nam Định,"Trung tâm thể dục, Hồ bơi ngoài trời",15:00 - 18:00,10:00 - 12:00,"Giặt ủi, Bữa sáng",View đẹp
8654,Hạnh Bùi,16.090.000 - 17.570.000 VND,Tuyên Quang,"Nhà hàng, Trung tâm Spa & chăm sóc sức khoẻ",11:00 - 15:00,10:30 - 12:00,Hồ bơi trong nhà,View đẹp
8655,Trọng Đặng,3.470.000 - 3.870.000 VND,TP. Hồ Chí Minh,Điều hòa nhiệt độ,15:00 - 14:00,10:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Trung tâm thể dục, Lễ tân 24 giờ, Sân vườn",Khu vực cho phép hút thuốc
8656,Dũng Bùi,4.290.000 - 4.980.000 VND,Tây Ninh,"Dịch vụ phòng, WiFi miễn phí, Xe đưa đón sân bay, Nhà hàng",13:30 - 16:00,10:00 - 12:00,"Nhà hàng, Máy pha trà/cà phê",
8657,Nhật Mai Bảo Nguyễn,5.710.000 - 5.860.000 VND,Thái Nguyên,"Quầy bar, Giặt ủi",13:30 - 15:00,10:30 - 12:00,Hồ bơi ngoài trời,View đẹp
8658,Nhật Phú Đặng,7.790.000 - 9.250.000 VND,Kiên Giang,"Máy pha trà/cà phê, Chỗ đỗ xe, Nôi/cũi theo yêu cầu",13:30 - 15:00,10:30 - 12:00,"Lễ tân 24 giờ, Bữa sáng, Nhà hàng, Tiện nghi cho khách khuyết tật",Không cần dọn phòng
8659,Ngọc Trần,9.010.000 - 9.840.000 VND,Quảng Nam,"Dịch vụ phòng, Phòng gia đình, Hồ bơi ngoài trời, Quầy bar",12:30 - 15:00,10:30 - 12:00,Tiện nghi cho khách khuyết tật,
8660,Trọng Hoàng Lê,15.290.000 - 17.080.000 VND,Cao Bằng,"Điều hòa nhiệt độ, Sân thượng / hiên, Hồ bơi ngoài trời, WiFi miễn phí",15:00 - 15:00,11:30 - 12:00,Nhà hàng,
8661,Quang Lê,5.020.000 - 5.650.000 VND,Hà Nam,"Trung tâm Spa & chăm sóc sức khoẻ, Trung tâm thể dục, Chỗ đỗ xe, Phòng gia đình",12:00 - 16:00,11:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Khu vực bãi tắm riêng",
8662,Lan Đặng,4.310.000 - 6.140.000 VND,Vĩnh Phúc,"Quầy bar, Bữa sáng, Hồ bơi trong nhà",15:00 - 14:00,12:00 - 12:00,"Tiện nghi cho khách khuyết tật, Bữa sáng, Trung tâm thể dục",Giáp biển
8663,Lan Dương,8.150.000 - 9.810.000 VND,Vĩnh Long,Giặt ủi,15:30 - 14:00,12:00 - 12:00,"Điều hòa nhiệt độ, Trung tâm Spa & chăm sóc sức khoẻ",Hướng biển
8664,Thành Mai,8.440.000 - 8.780.000 VND,Bình Dương,"Trung tâm thể dục, Sân thượng / hiên, Tiện nghi BBQ, Nôi/cũi theo yêu cầu",12:00 - 18:00,12:00 - 12:00,"Tiện nghi BBQ, Dịch vụ phòng, Điều hòa nhiệt độ",Phòng yên tĩnh
8665,Hà Trần,4.810.000 - 5.600.000 VND,Hà Tĩnh,"Thang máy, Tiện nghi BBQ, Nhà hàng, Bữa sáng",12:30 - 18:00,9:30 - 12:00,"Tiện nghi BBQ, Sân vườn",
8666,Ánh Vũ,9.620.000 - 9.880.000 VND,Quảng Nam,"Tiện nghi BBQ, Dịch vụ phòng",15:00 - 18:00,10:00 - 12:00,"Dịch vụ phòng, Phòng gia đình, Tiện nghi BBQ",
8667,Trọng Trí Phạm,16.900.000 - 17.230.000 VND,Bình Thuận,Khu vực bãi tắm riêng,15:30 - 15:00,12:00 - 12:00,"Tiện nghi cho khách khuyết tật, Điều hòa nhiệt độ, Thang máy, Khu vực bãi tắm riêng",Giáp biển
8668,Khoa Lê,9.080.000 - 10.270.000 VND,Bắc Kạn,"Tiện nghi BBQ, Phòng gia đình",14:30 - 13:00,12:30 - 12:00,"Phòng không hút thuốc, Máy pha trà/cà phê, WiFi miễn phí",Giáp biển
8669,Châu Vũ,150.000 - 2.120.000 VND,Trà Vinh,Quầy bar,12:30 - 18:00,9:30 - 12:00,Dịch vụ phòng,
8670,Nhiên Mai,17.500.000 - 19.110.000 VND,Tiền Giang,"Quầy bar, Tiện nghi cho khách khuyết tật, Lễ tân 24 giờ",14:30 - 13:00,12:00 - 12:00,"Dịch vụ phòng, Chỗ đỗ xe, Nhà hàng",Chỗ đậu xe riêng
8671,Phương Phạm,10.410.000 - 10.940.000 VND,Bình Phước,"Dọn phòng hàng ngày, Lễ tân 24 giờ, Nhà hàng",12:30 - 17:00,10:00 - 12:00,"Trung tâm thể dục, Phòng gia đình, WiFi miễn phí",Giường phụ
8672,Thành Phạm,16.670.000 - 18.200.000 VND,Tuyên Quang,"Trung tâm Spa & chăm sóc sức khoẻ, Dọn phòng hàng ngày, Khu vực bãi tắm riêng",13:30 - 14:00,10:30 - 12:00,"Điều hòa nhiệt độ, Phòng gia đình",
8673,Bảo Trần,1.340.000 - 2.010.000 VND,Đồng Tháp,Xe đưa đón sân bay,12:30 - 14:00,11:00 - 12:00,"Nhà hàng, Điều hòa nhiệt độ, Dịch vụ phòng",
8674,Thành Bùi,4.660.000 - 5.270.000 VND,Nam Định,"Trung tâm Spa & chăm sóc sức khoẻ, Chỗ đỗ xe, Điều hòa nhiệt độ",15:00 - 14:00,9:30 - 12:00,"Tiện nghi BBQ, Phòng không hút thuốc, Nôi/cũi theo yêu cầu",
8675,Vũ Quang Lê,90.000 - 240.000 VND,An Giang,"Hồ bơi ngoài trời, Máy pha trà/cà phê",15:00 - 18:00,10:00 - 12:00,"Lễ tân 24 giờ, Nôi/cũi theo yêu cầu, Sân vườn, Thang máy",Nôi em bé
8676,Duyên Trần,4.690.000 - 4.990.000 VND,Thái Nguyên,"Lễ tân 24 giờ, Nôi/cũi theo yêu cầu, Nhà hàng",15:00 - 13:00,9:30 - 12:00,"Phòng không hút thuốc, Chỗ đỗ xe, Tiện nghi BBQ, Thang máy",
8677,Quang Xuân Vũ,1.820.000 - 3.700.000 VND,Long An,"Quầy bar, Tiện nghi cho khách khuyết tật, Trung tâm thể dục, Sân thượng / hiên",12:30 - 18:00,9:30 - 12:00,"Nôi/cũi theo yêu cầu, Chỗ đỗ xe",
8678,Trung Hoàng Dương,6.800.000 - 8.770.000 VND,Thái Nguyên,Phòng gia đình,12:00 - 15:00,9:00 - 12:00,"Tiện nghi cho khách khuyết tật, Máy pha trà/cà phê, Tiện nghi BBQ",Giáp biển
8679,Trung Mai Bảo Đặng,11.240.000 - 11.860.000 VND,Đà Nẵng,"Giặt ủi, Nôi/cũi theo yêu cầu, Bữa sáng",13:30 - 15:00,12:30 - 12:00,"Điều hòa nhiệt độ, Khu vực bãi tắm riêng",Giường phụ
8680,Xuân Vũ,9.690.000 - 10.230.000 VND,Thanh Hóa,"Điều hòa nhiệt độ, Dịch vụ phòng, Trung tâm thể dục",14:30 - 14:00,9:30 - 12:00,"Máy pha trà/cà phê, Sân vườn, Khu vực bãi tắm riêng, Bữa sáng",
8681,Lâm Phú Bùi,10.750.000 - 10.990.000 VND,Trà Vinh,"Trung tâm Spa & chăm sóc sức khoẻ, Nôi/cũi theo yêu cầu, Máy pha trà/cà phê, Trung tâm thể dục",13:00 - 13:00,9:00 - 12:00,"Phòng không hút thuốc, Chỗ đỗ xe, Hồ bơi ngoài trời",Tầng cao
8682,Hải Xuân Lê,11.440.000 - 12.990.000 VND,Hà Nội,Khu vực bãi tắm riêng,14:00 - 15:00,12:30 - 12:00,"Dịch vụ phòng, Nôi/cũi theo yêu cầu",Nôi em bé
8683,Phương Lê,8.850.000 - 9.490.000 VND,Đà Nẵng,"Hồ bơi trong nhà, Xe đưa đón sân bay",12:30 - 15:00,10:00 - 12:00,"Hồ bơi trong nhà, Máy pha trà/cà phê, Nhà hàng",Tầng cao
8684,Huy Hữu Trần,8.970.000 - 9.900.000 VND,Hải Phòng,"Thang máy, Hồ bơi trong nhà",12:30 - 13:00,9:00 - 12:00,"Nôi/cũi theo yêu cầu, Nhà hàng, Hồ bơi trong nhà, Quầy bar",Phòng không cửa sổ
8685,Hải Bùi,810.000 - 1.650.000 VND,Nam Định,Giặt ủi,13:00 - 13:00,12:00 - 12:00,"Nhà hàng, Dọn phòng hàng ngày, Phòng không hút thuốc, Khu vực bãi tắm riêng",Chỗ đậu xe riêng
8686,Hoàng Trần,5.730.000 - 6.380.000 VND,Quảng Ninh,Bữa sáng,14:30 - 18:00,9:00 - 12:00,Tiện nghi cho khách khuyết tật,
8687,Ngọc Nguyễn,3.290.000 - 3.520.000 VND,Hà Giang,Trung tâm thể dục,15:30 - 14:00,11:30 - 12:00,"Nhà hàng, Chỗ đỗ xe, Sân vườn, Quầy bar",Khu vực cho phép hút thuốc
8688,Hà Mai Nguyễn,5.790.000 - 6.430.000 VND,TP. Hồ Chí Minh,"Bữa sáng, Trung tâm Spa & chăm sóc sức khoẻ, Khu vực bãi tắm riêng",15:00 - 14:00,12:00 - 12:00,Phòng không hút thuốc,
8689,Phương Nguyễn,11.290.000 - 12.400.000 VND,Lai Châu,Trung tâm Spa & chăm sóc sức khoẻ,14:30 - 17:00,10:00 - 12:00,Phòng không hút thuốc,
8690,Yến Phạm,11.560.000 - 13.360.000 VND,Cao Bằng,Chỗ đỗ xe,11:00 - 16:00,11:00 - 12:00,"Tiện nghi BBQ, WiFi miễn phí, Máy pha trà/cà phê, Tiện nghi cho khách khuyết tật",Không cần dọn phòng
8691,Bảo Đức Vũ,3.200.000 - 3.550.000 VND,Phú Thọ,Nôi/cũi theo yêu cầu,12:00 - 17:00,11:30 - 12:00,"Trung tâm thể dục, Hồ bơi trong nhà, Trung tâm Spa & chăm sóc sức khoẻ, WiFi miễn phí",Giường phụ
8692,Bảo Mai Bảo Phạm,13.860.000 - 15.310.000 VND,Phú Yên,"Bữa sáng, Xe đưa đón sân bay, Tiện nghi cho khách khuyết tật, WiFi miễn phí",14:00 - 18:00,10:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Khu vực bãi tắm riêng, Sân thượng / hiên",Giường phụ
8693,Linh Mai,12.150.000 - 13.070.000 VND,Vĩnh Long,"Hồ bơi trong nhà, Nôi/cũi theo yêu cầu",11:00 - 13:00,9:30 - 12:00,Máy pha trà/cà phê,Phòng yên tĩnh
8694,Quang Tấn Hoàng,3.580.000 - 5.270.000 VND,Cần Thơ,"Chỗ đỗ xe, Khu vực bãi tắm riêng, Điều hòa nhiệt độ, Thang máy",13:00 - 13:00,12:30 - 12:00,Điều hòa nhiệt độ,Phòng không cửa sổ
8695,Vi Mai,2.440.000 - 2.830.000 VND,Đồng Tháp,"Phòng không hút thuốc, Trung tâm thể dục, Dọn phòng hàng ngày, Tiện nghi cho khách khuyết tật",12:00 - 16:00,11:00 - 12:00,"Quầy bar, Tiện nghi BBQ, WiFi miễn phí, Bữa sáng",Chỗ đậu xe riêng
8696,Lâm Lê,3.650.000 - 5.550.000 VND,Nam Định,"Bữa sáng, Tiện nghi cho khách khuyết tật, Nôi/cũi theo yêu cầu",12:00 - 13:00,11:00 - 12:00,"Phòng không hút thuốc, Quầy bar, Khu vực bãi tắm riêng",View đẹp
8697,Thành Xuân Nguyễn,7.260.000 - 8.300.000 VND,Quảng Bình,"Khu vực bãi tắm riêng, Tiện nghi cho khách khuyết tật, Phòng gia đình, Tiện nghi BBQ",12:00 - 13:00,12:00 - 12:00,"Phòng không hút thuốc, Sân thượng / hiên",
8698,Lâm Dương,12.600.000 - 13.930.000 VND,Hải Dương,"Quầy bar, Xe đưa đón sân bay",13:00 - 14:00,12:00 - 12:00,"Phòng không hút thuốc, Hồ bơi trong nhà, Phòng gia đình, Bữa sáng",Tầng cao
8699,Linh Đặng,530.000 - 630.000 VND,Tuyên Quang,"Phòng gia đình, Khu vực bãi tắm riêng, Tiện nghi BBQ",11:00 - 18:00,11:00 - 12:00,"Tiện nghi BBQ, Sân vườn, Bữa sáng",
8700,Duyên Trần,14.050.000 - 14.770.000 VND,Bình Thuận,Dọn phòng hàng ngày,11:30 - 13:00,11:30 - 12:00,Chỗ đỗ xe,
8701,Vũ Phạm,7.700.000 - 8.300.000 VND,An Giang,Lễ tân 24 giờ,12:00 - 13:00,11:30 - 12:00,"Phòng không hút thuốc, Nhà hàng",View đẹp
8702,Dương Hoàng,6.080.000 - 6.290.000 VND,Quảng Nam,"Giặt ủi, Thang máy, Tiện nghi BBQ",13:00 - 15:00,10:30 - 12:00,"Sân vườn, Phòng gia đình, Hồ bơi ngoài trời",Không cần dọn phòng
8703,An Trần,16.070.000 - 17.910.000 VND,Vĩnh Long,"Chỗ đỗ xe, WiFi miễn phí, Bữa sáng, Lễ tân 24 giờ",13:30 - 16:00,10:00 - 12:00,"Chỗ đỗ xe, Nôi/cũi theo yêu cầu, Lễ tân 24 giờ",
8704,Phúc Dương,5.780.000 - 6.870.000 VND,Quảng Ninh,"Phòng gia đình, Sân thượng / hiên, Chỗ đỗ xe",11:30 - 16:00,10:30 - 12:00,"Lễ tân 24 giờ, Sân vườn",View đẹp
8705,Tú Đặng,17.700.000 - 17.900.000 VND,Quảng Ngãi,"Dịch vụ phòng, Bữa sáng",13:00 - 15:00,12:30 - 12:00,Hồ bơi trong nhà,Hướng biển
8706,Chi Phạm,17.950.000 - 19.650.000 VND,Bắc Ninh,"Lễ tân 24 giờ, Sân vườn, Quầy bar, Máy pha trà/cà phê",12:00 - 13:00,10:00 - 12:00,Máy pha trà/cà phê,Hướng biển
8707,Nhật Dương,6.330.000 - 7.660.000 VND,Quảng Bình,"Phòng không hút thuốc, Nôi/cũi theo yêu cầu, Trung tâm thể dục",15:00 - 13:00,12:00 - 12:00,"Sân vườn, Quầy bar",View đẹp
8708,Bảo Nguyễn,5.310.000 - 5.840.000 VND,Quảng Ninh,Bữa sáng,13:00 - 13:00,10:00 - 12:00,"WiFi miễn phí, Tiện nghi cho khách khuyết tật",Khu vực cho phép hút thuốc
8709,Hạnh Lê,2.410.000 - 2.690.000 VND,Hà Tĩnh,"Trung tâm thể dục, Nhà hàng, Phòng gia đình, Nôi/cũi theo yêu cầu",14:00 - 14:00,9:00 - 12:00,"WiFi miễn phí, Sân vườn",
8710,Nhật Đức Đặng,4.920.000 - 6.650.000 VND,Hà Nam,"Nhà hàng, Quầy bar, Điều hòa nhiệt độ",12:30 - 14:00,11:30 - 12:00,Khu vực bãi tắm riêng,
8711,Hồng Dương,14.140.000 - 14.790.000 VND,Bắc Ninh,"Giặt ủi, Xe đưa đón sân bay, Nhà hàng",15:00 - 16:00,10:00 - 12:00,Tiện nghi cho khách khuyết tật,
8712,Nhật Bùi,2.570.000 - 3.050.000 VND,Nam Định,"Tiện nghi BBQ, Hồ bơi trong nhà",11:30 - 15:00,11:30 - 12:00,Thang máy,Chỗ đậu xe riêng
8713,Nam Trần,12.350.000 - 12.800.000 VND,Ninh Thuận,"Trung tâm thể dục, Điều hòa nhiệt độ",15:00 - 17:00,9:30 - 12:00,"Lễ tân 24 giờ, Tiện nghi BBQ, Hồ bơi ngoài trời",
8714,Hải Mai Vũ,740.000 - 2.570.000 VND,Điện Biên,"Tiện nghi BBQ, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Hồ bơi trong nhà",14:30 - 17:00,11:30 - 12:00,"Trung tâm thể dục, Thang máy",Giáp biển
8715,Khoa Trần,11.110.000 - 11.560.000 VND,Lào Cai,Bữa sáng,11:30 - 18:00,9:30 - 12:00,"Chỗ đỗ xe, Máy pha trà/cà phê",
8716,Tú Lê,11.370.000 - 13.040.000 VND,Bình Thuận,"Bữa sáng, Sân vườn, Giặt ủi",13:00 - 17:00,11:30 - 12:00,"Điều hòa nhiệt độ, Tiện nghi BBQ, Phòng không hút thuốc, Sân vườn",Hướng biển
8717,Kim Trí Hoàng,15.600.000 - 16.730.000 VND,Hưng Yên,Sân vườn,13:00 - 16:00,10:00 - 12:00,"Lễ tân 24 giờ, Trung tâm thể dục, Điều hòa nhiệt độ, Nhà hàng",Phòng yên tĩnh
8718,Văn Bùi,16.500.000 - 16.660.000 VND,Bắc Kạn,"Bữa sáng, Khu vực bãi tắm riêng",12:30 - 17:00,12:30 - 12:00,"Lễ tân 24 giờ, Dịch vụ phòng, Hồ bơi ngoài trời, Tiện nghi cho khách khuyết tật",
8719,Khoa Bùi,3.440.000 - 5.040.000 VND,Kiên Giang,"Sân thượng / hiên, Nhà hàng, Quầy bar, Máy pha trà/cà phê",13:30 - 14:00,11:30 - 12:00,"Nôi/cũi theo yêu cầu, Điều hòa nhiệt độ",Giường phụ
8720,Thành Tấn Bùi,9.190.000 - 9.730.000 VND,Cần Thơ,"Hồ bơi ngoài trời, WiFi miễn phí, Khu vực bãi tắm riêng, Phòng không hút thuốc",12:00 - 15:00,11:30 - 12:00,Dịch vụ phòng,
8721,Nhiên Nguyễn,12.480.000 - 14.350.000 VND,Hải Dương,"Chỗ đỗ xe, Tiện nghi cho khách khuyết tật, Khu vực bãi tắm riêng, Giặt ủi",13:30 - 15:00,9:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Quầy bar",
8722,Thảo Nguyễn,3.410.000 - 5.390.000 VND,Bình Phước,Quầy bar,12:30 - 15:00,12:30 - 12:00,"Bữa sáng, Dịch vụ phòng, Phòng không hút thuốc",Phòng không cửa sổ
8723,Phúc Đặng,5.910.000 - 6.670.000 VND,Quảng Nam,"Dọn phòng hàng ngày, Giặt ủi, WiFi miễn phí, Nôi/cũi theo yêu cầu",14:30 - 14:00,9:30 - 12:00,"Chỗ đỗ xe, Nhà hàng, Sân vườn, Thang máy",Tầng cao
8724,Hạnh Lê,11.170.000 - 12.120.000 VND,Nam Định,"Xe đưa đón sân bay, Sân vườn",14:30 - 14:00,9:00 - 12:00,"Sân vườn, Giặt ủi, Khu vực bãi tắm riêng",
8725,Xuân Trần,8.330.000 - 8.720.000 VND,TP. Hồ Chí Minh,"Trung tâm thể dục, Xe đưa đón sân bay",15:30 - 17:00,9:30 - 12:00,Hồ bơi trong nhà,
8726,Hồng Dương,14.050.000 - 16.040.000 VND,Đà Nẵng,"Sân vườn, Dọn phòng hàng ngày",15:30 - 14:00,10:00 - 12:00,"Hồ bơi ngoài trời, Dọn phòng hàng ngày, Bữa sáng",Phòng yên tĩnh
8727,Thảo Dương,4.380.000 - 5.790.000 VND,Bạc Liêu,Bữa sáng,13:00 - 16:00,11:00 - 12:00,Điều hòa nhiệt độ,Khu vực cho phép hút thuốc
8728,Phương Đặng,12.340.000 - 13.570.000 VND,Tây Ninh,Máy pha trà/cà phê,15:00 - 17:00,12:30 - 12:00,"Chỗ đỗ xe, Dịch vụ phòng, WiFi miễn phí, Hồ bơi ngoài trời",Không cần dọn phòng
8729,Chi Phạm,14.010.000 - 15.890.000 VND,Bình Phước,"Phòng không hút thuốc, Phòng gia đình, Tiện nghi BBQ",14:30 - 13:00,9:30 - 12:00,"Giặt ủi, Phòng không hút thuốc, Trung tâm thể dục",Giáp biển
8730,Dương Nguyễn,4.520.000 - 4.930.000 VND,Bình Định,Chỗ đỗ xe,12:30 - 17:00,11:00 - 12:00,Phòng không hút thuốc,Giường phụ
8731,Nam Bùi,7.290.000 - 7.730.000 VND,Vĩnh Long,Bữa sáng,15:00 - 13:00,10:30 - 12:00,"Xe đưa đón sân bay, Quầy bar",Giáp biển
8732,Phương Hoàng,7.750.000 - 9.030.000 VND,Cà Mau,"Hồ bơi ngoài trời, Quầy bar, Trung tâm thể dục, Xe đưa đón sân bay",13:30 - 13:00,11:30 - 12:00,"Máy pha trà/cà phê, Bữa sáng",Giáp biển
8733,Kim Đặng,5.160.000 - 6.260.000 VND,Thái Nguyên,"Nhà hàng, Máy pha trà/cà phê",15:00 - 13:00,11:30 - 12:00,"Sân vườn, Xe đưa đón sân bay, Tiện nghi BBQ",
8734,An Hoàng,11.760.000 - 13.140.000 VND,Ninh Bình,"Giặt ủi, Phòng gia đình, Quầy bar, Bữa sáng",15:00 - 13:00,10:30 - 12:00,Lễ tân 24 giờ,Phòng không cửa sổ
8735,Hạnh Phạm,6.570.000 - 7.590.000 VND,Quảng Bình,"Hồ bơi ngoài trời, Trung tâm Spa & chăm sóc sức khoẻ, Dịch vụ phòng",12:30 - 18:00,10:00 - 12:00,"Phòng gia đình, WiFi miễn phí",Chỗ đậu xe riêng
8736,Nhật Trần,12.560.000 - 12.830.000 VND,Tiền Giang,Hồ bơi trong nhà,11:00 - 14:00,10:00 - 12:00,"Quầy bar, Tiện nghi cho khách khuyết tật",Khu vực cho phép hút thuốc
8737,Châu Hoàng,14.610.000 - 14.770.000 VND,Lâm Đồng,"Khu vực bãi tắm riêng, Dịch vụ phòng, Quầy bar, Trung tâm Spa & chăm sóc sức khoẻ",11:30 - 14:00,10:00 - 12:00,"Giặt ủi, Dọn phòng hàng ngày",View đẹp
8738,Phúc Đặng,14.990.000 - 16.750.000 VND,Hậu Giang,"Quầy bar, WiFi miễn phí",14:00 - 14:00,10:30 - 12:00,"Trung tâm thể dục, Nhà hàng, Dịch vụ phòng",Khu vực cho phép hút thuốc
8739,An Đặng,2.320.000 - 3.660.000 VND,Bình Thuận,Phòng không hút thuốc,15:00 - 18:00,12:30 - 12:00,Lễ tân 24 giờ,Chỗ đậu xe riêng
8740,Tú Dương,1.140.000 - 2.610.000 VND,Điện Biên,"Tiện nghi cho khách khuyết tật, Máy pha trà/cà phê",13:30 - 14:00,9:30 - 12:00,"Giặt ủi, Hồ bơi trong nhà, Sân vườn, Bữa sáng",Giáp biển
8741,Xuân Bùi,7.930.000 - 9.700.000 VND,Quảng Trị,"Nhà hàng, Khu vực bãi tắm riêng, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ",13:00 - 14:00,9:00 - 12:00,"WiFi miễn phí, Hồ bơi ngoài trời, Khu vực bãi tắm riêng, Thang máy",Tầng cao
8742,Thành Hải Trần,10.360.000 - 11.870.000 VND,Đắk Nông,"Trung tâm thể dục, WiFi miễn phí, Sân vườn, Hồ bơi trong nhà",11:30 - 15:00,12:00 - 12:00,Trung tâm Spa & chăm sóc sức khoẻ,
8743,Lan Mai,14.840.000 - 16.770.000 VND,Hậu Giang,Phòng không hút thuốc,15:30 - 16:00,9:00 - 12:00,Nôi/cũi theo yêu cầu,Nôi em bé
